municipio,admissoes_mes,desligamentos_mes,saldo_mes,variacao_mes,admissoes_ano,desligamentos_ano,saldo_ano,variacao_ano,admissoes_12m,desligamentos_12m,saldo_12m,variacao_12m,competencia
CAPAO BONITO,352,154,198,2.99,2508,2115,393,6.09,3339,2923,416,6.47,Setembro/2019
CAPELA DO ALTO,71,121,-50,-1.16,2532,2198,334,8.51,3126,2961,165,4.03,Setembro/2019
CAPIVARI,330,285,45,0.32,4553,3529,1024,7.88,5364,5032,332,2.42,Setembro/2019
CARAGUATATUBA,873,684,189,0.96,6699,6819,-120,-0.6,9627,8946,681,3.54,Setembro/2019
CARAPICUIBA,1018,965,53,0.16,10903,9988,915,2.89,14039,13197,842,2.66,Setembro/2019
CARDOSO,23,16,7,0.68,341,280,61,6.22,419,418,1,0.1,Setembro/2019
CASA BRANCA,292,238,54,0.77,2370,2059,311,4.58,3086,3229,-143,-1.98,Setembro/2019
CASTILHO,32,54,-22,-0.56,1700,875,825,26.95,1831,1663,168,4.52,Setembro/2019
CATANDUVA,853,825,28,0.08,9889,8897,992,2.95,12641,12349,292,0.85,Setembro/2019
CERQUEIRA CESAR,167,127,40,0.94,1627,1032,595,16.01,1873,1607,266,6.57,Setembro/2019
CERQUILHO,354,280,74,0.64,3339,3036,303,2.67,4069,4167,-98,-0.83,Setembro/2019
CESARIO LANGE,98,59,39,1.22,834,750,84,2.66,1058,1007,51,1.6,Setembro/2019
CHARQUEADA,61,69,-8,-0.32,978,579,399,19.01,1112,1194,-82,-3.18,Setembro/2019
CHAVANTES,27,51,-24,-1.69,460,404,56,4.17,548,577,-29,-2.03,Setembro/2019
COLINA,101,83,18,0.32,1813,1216,597,11.74,2049,1845,204,3.72,Setembro/2019
CONCHAL,182,112,70,1.39,2080,1715,365,7.67,2544,2467,77,1.53,Setembro/2019
CONCHAS,153,93,60,1.76,880,856,24,0.7,1123,1258,-135,-3.76,Setembro/2019
CORDEIROPOLIS,243,228,15,0.16,2627,2387,240,2.58,3417,3113,304,3.29,Setembro/2019
COSMOPOLIS,362,303,59,0.61,3333,2865,468,5.01,4140,3891,249,2.6,Setembro/2019
COTIA,2359,2034,325,0.46,22097,20835,1262,1.82,28331,27395,936,1.34,Setembro/2019
CRAVINHOS,337,174,163,1.88,3795,3010,785,9.72,4625,3774,851,10.62,Setembro/2019
CRUZEIRO,250,234,16,0.11,2806,2691,115,0.8,3776,3606,170,1.18,Setembro/2019
CUBATAO,748,511,237,0.97,7608,7246,362,1.48,9729,9211,518,2.13,Setembro/2019
CUNHA,40,31,9,0.4,313,325,-12,-0.54,381,433,-52,-2.28,Setembro/2019
DESCALVADO,225,195,30,0.3,2546,2290,256,2.64,3168,3114,54,0.54,Setembro/2019
DIADEMA,2275,2056,219,0.26,20391,20812,-421,-0.49,26356,27335,-979,-1.14,Setembro/2019
DIVINOLANDIA,66,45,21,1.14,552,506,46,2.54,693,665,28,1.53,Setembro/2019
DOIS CORREGOS,112,163,-51,-0.86,2155,1486,669,12.82,2560,2473,87,1.5,Setembro/2019
DRACENA,547,293,254,2.43,3705,2680,1025,10.49,4790,3428,1362,14.44,Setembro/2019
DUARTINA,107,49,58,2.41,745,483,262,11.84,852,757,95,3.99,Setembro/2019
ELDORADO,32,39,-7,-0.42,426,425,1,0.06,522,556,-34,-2.0,Setembro/2019
ELIAS FAUSTO,148,207,-59,-1.13,2882,1837,1045,25.38,3291,3309,-18,-0.35,Setembro/2019
EMBU DAS ARTES,1327,1235,92,0.22,12448,12647,-199,-0.47,16094,16263,-169,-0.4,Setembro/2019
EMBU-GUACU,175,174,1,0.01,1778,1751,27,0.39,2276,2217,59,0.86,Setembro/2019
ENGENHEIRO COELHO,110,78,32,0.68,1218,1174,44,0.93,1472,1668,-196,-3.95,Setembro/2019
ESPIRITO SANTO DO PINHAL,259,314,-55,-0.47,2490,2801,-311,-2.59,3223,3770,-547,-4.47,Setembro/2019
ESTIVA GERBI,82,84,-2,-0.09,1098,837,261,12.71,1301,1098,203,9.61,Setembro/2019
EUCLIDES DA CUNHA PAULISTA,0,4,-4,-1.28,81,66,15,4.62,98,93,5,1.49,Setembro/2019
FARTURA,98,144,-46,-1.36,1056,1167,-111,-3.24,1371,1466,-95,-2.79,Setembro/2019
